,REFCODE,Habit,Solvent,SMILES
19127,KANQIZ,plate,dichloromethane,CCOC(=O)C1=C(NC(CC1=O)C(=O)OC)c1ccccc1
19128,KANREX,prism,chloroform,Clc1ccc(cc1)C(=O)CN1C(=O)C(=CC2=C1CCCC2)C#N
19129,KANRIB,prism,chloroform,Clc1ccc(cc1)C(=O)COc1nc2CCCCc2cc1C#N
19130,KANSAU,prism,dimethylformamide,NC1=C(Oc2nc3CCCCc3cc12)C(=O)c1ccc(Cl)cc1
19131,KANSIC,prism,acetone,CC(C)(C)c1cc(CN(C(N)=S)c2ccccc2)cc(c1O)C(C)(C)C
19132,KANSOI,prism,ethyl acetate/hexane,Cc1ccc(cc1)C1(NC(=O)C2=Nc3ccccc3N12)C(F)(F)F
19133,KANSUO,block,benzene,ClC(Cl)=C(Oc1ccccc1)N(C(=O)Oc1ccccc1)P(=O)(c1ccccc1)c1ccccc1
19134,KANTUQ,block,ethanol,Cc1ccc2OC(=Nc2c1)C(=Cc1ccccc1)C#N
19135,KANWAY,block,ethanol,CC(C)C1C(=C(N)OC2=NNC(=C12)c1ccccc1)C#N
19136,KANYUU03,needle,"N,N-dimethylformamide/methanol",c1ccc2c(c1)N(c1ccc(cc1)c1ccc(cc1)N1c3ccccc3c3ccccc13)c1ccccc21
19137,KANZUX,block,tetrahydrofuran,CC(C)c1cccc(C(C)C)c1N1C=C[N+](=C1C(C#N)(C#N)[C-](C#N)C#N)c1c(cccc1C(C)C)C(C)C
19138,KAPBAH,block,tetrahydrofuran/pentane,CC(C)c1cccc(C(C)C)c1N1C=C[N+](=C1C1=C(C#N)C(=C([N-]1)[N+](=C(C#N)C#N)[C-](C#N)C#N)C#N)c1c(cccc1C(C)C)C(C)C
